goal,state,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34
1200,successful,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.07,0.04,0.07,0.04,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.05,0.04,0.05,0.07,0.00,0.05,0.00,0.05,0.06,0.05,0.00,0.00,0.00
15000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.07,0.00,0.00,0.00,0.06,0.07,0.06,0.06,0.00,0.07,0.06,0.07,0.06,0.00,0.06,0.00,0.07,0.00,0.06,0.00,0.07,0.00
38000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.04,0.05,0.00,0.00,0.00,0.05,0.06,0.05,0.00,0.00,0.04,0.05,0.05,0.04,0.04,0.05,0.00,0.05,0.05,0.05,0.00,0.05,0.04
50000,successful,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.00,0.08,0.00,0.08,0.08,0.00,0.07,0.00,0.08,0.08,0.08,0.08,0.00,0.08,0.08,0.08,0.08,0.00,0.00
440,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.04,0.02,0.04,0.00,0.00,0.00
500,failed,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.04,0.00,0.00,0.03,0.06,0.05,0.00,0.00,0.00
4500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.06,0.00,-0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.06,0.00,0.00,0.09,0.04,0.04,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.08,0.08,0.07,0.00,0.10,0.00
3000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.07,0.06,0.00,0.00,0.00,0.07,0.06,0.00,0.07,0.06,0.07,0.00,0.07,0.06,0.06,0.00,0.00,0.00
100000,successful,0.00,0.00,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.05,0.05,0.04,0.00,0.00,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.00
4500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.00,0.00,0.06,0.00,0.05,0.00,0.00,0.04,0.00,0.04,0.05,0.00,0.04,0.00,0.04,0.06,0.05,0.00,0.00,0.00
14000,failed,0.05,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.03,0.04,0.00,0.03,0.04,0.00,0.00,0.04,0.03,0.03,0.04,0.00,0.00,0.00,0.00,0.03,0.05,0.05,0.05,0.00,0.05,0.04,0.04,0.00,0.03,0.00
2000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.04,0.04,0.02,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.03,0.03,0.01,0.00,0.04,0.03,0.04,0.00,0.00,0.00
32600,failed,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.00,0.05,0.00,0.00,0.00
500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.06,0.00,0.00,0.00
950,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.05,0.00,0.03,0.00,0.00,0.05,0.04,0.00,0.00,0.00,0.04,0.00,0.03,0.05,0.04,0.00,0.02,0.00
500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.05,0.00,0.06,0.00,0.05,0.07,0.00,0.00
7500,successful,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.01,0.02,0.02,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.02,0.02,0.02,0.00,0.00,0.00
2500,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.00,0.00,0.08,0.02,0.04,0.00,0.00,0.00
16000,successful,0.06,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.00,0.07,0.07,0.07,0.07,0.06,0.07,0.00,0.07,0.07,0.07,0.00,0.00,0.00
12000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.06,0.05,0.05,0.06,0.00,0.06,0.06,0.06,0.00,0.07,0.00
250,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.06,0.07,0.00,0.00,0.00,0.00,0.06,0.05,0.07,0.06,0.06,0.00,0.00,0.06,0.06,0.00,0.00,0.00
1000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.07,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.07,0.07,0.05,0.00,0.00,0.07
60000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.03,0.00,0.05,0.05,0.00,0.00,0.05,0.05,0.04,0.00,0.00,0.05,0.00,0.00,0.05,0.05,0.04,0.00,0.04,0.04,0.05,0.00,0.04,0.00
750,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.07,0.08,0.07,0.08,0.08,0.00,0.06,0.00,0.08,0.08,0.07,0.00,0.08,0.07,0.07,0.00,0.06,0.00
500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.08,0.09,0.08,0.00,0.00,0.00
100000,successful,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.07,0.00,0.06,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.07,0.07,0.00,0.08,0.08,0.08,0.00,0.07,0.07,0.08,0.00,0.08,0.00
400,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.06,0.00,0.05,0.02,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00
50000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.00,0.00,0.08,0.00,0.08,0.08,0.09,0.00,0.00,0.09,0.09,0.09,0.00,0.09,0.00
25000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.05,0.00,0.00,0.04,0.05,0.05,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.04,0.05,0.00,0.05,0.05,0.05,0.04,0.00,0.00
5000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.04,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.05,0.02,0.05,0.00,0.00,0.03,0.00,0.05,0.02,0.03,0.06,0.00,0.00
58888,successful,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.07,0.08,0.08,0.07,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.00,0.07,0.08,0.07,0.00,0.07,0.00
30000,failed,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.06,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.00,0.06,0.00,0.06,0.00,0.00,0.00
25,successful,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.08,0.00,0.00,0.00,0.06,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.08,0.08,0.07,0.00,0.00,0.00
4800,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.05,0.07,0.00,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.06,0.09,0.05,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.10,0.10,0.08,0.07,0.08,0.06,0.00,0.07,0.07,0.07,0.06,0.00,0.00
25000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.08,0.08,0.07,0.09,0.00,0.06,0.09,0.00,0.09,0.09,0.07,0.00,0.08,0.07,0.08,0.08,0.00,0.00
5000,successful,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.06,0.00,0.04,0.05,0.00,0.00,0.05,0.06,0.04,0.00,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.00
4000,successful,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.05,0.05,0.06,0.07,0.04,0.05,0.06,0.07,0.00,0.07,0.00,0.00,0.06,0.07,0.06,0.00,0.00,0.05,0.06,0.00,0.00,0.00
1200,failed,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.06,0.00,0.00,0.00,0.04,0.06,0.05,0.00,0.00,0.03,0.05,0.06,0.06,0.04,0.03,0.00,0.05,0.07,0.05,0.04,0.00,0.04
3000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.07,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.06,0.00,0.07,0.05,0.06,0.00,0.00,0.00
7000,successful,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.03,0.04,0.04,0.04,0.00,0.04,0.00,0.04,0.00,0.00,0.04,0.04,0.00,0.04,0.04,0.04,0.00,0.04,0.04,0.04,0.00,0.04,0.00
15000,successful,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.07,0.00,0.07,0.00,0.06,0.07,0.00,0.07,0.07,0.07,0.07,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.01,0.06,0.00,0.00,0.02,0.00,0.06,0.00,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.04,0.08,0.05,0.09,0.00,0.00
6000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.04,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.00,0.00,0.00
7200,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.04,0.04,0.03,0.02,0.00,0.04,0.02,0.04,0.04,0.00,0.02,0.00,0.02,0.03,0.03,0.00,0.04,0.00
1650,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.10,0.08,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.09,0.00,0.10,0.08,0.00,0.10,0.00,0.08,0.09,0.09,0.09,0.00,0.00
2000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.09,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.00,0.09,0.00,0.00,0.08,0.00,0.08,0.00,0.09,0.08,0.08,0.00,0.00,0.00
6000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.08,0.00,0.06,0.00,0.08,0.00,0.07,0.06,0.04,0.00,0.00,0.04,0.00,0.00,0.08,0.00,0.07,0.00,0.06,0.06,0.06,0.00,0.06,0.00
1500,successful,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.07,0.04,0.00,0.00,0.07,0.00,0.00,0.07,0.06,0.06,0.00,0.07,0.06,0.06,0.05,0.07,0.00
10000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.04,0.07,0.04,0.00,0.00,0.00,0.07,0.04,0.04,0.00,0.00,0.07,0.04,0.04,0.06,0.06,0.00,0.00
300,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.04,0.04,0.05,0.00,0.03,0.04,0.00,0.04,0.05,0.00,0.04,0.00,0.05,0.00,0.04,0.00,0.00,0.00
30000,successful,0.08,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.08,0.00,0.08,0.07,0.00,0.00,0.00,0.07,0.07,0.08,0.08,0.08,0.07,0.00,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.08,0.00
7000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.03,0.00,0.03,0.00,0.03,0.03,0.04,0.05,0.05,0.00
6000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.05,0.05,0.05,0.04,0.04,0.05,0.00,0.05,0.04,0.05,0.00,0.04,0.06
24000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.05,0.06,0.00,0.00,0.00,0.05,0.07,0.00,0.00,0.00,0.00,0.07,0.06,0.06,0.06,0.06,0.00,0.05,0.08,0.06,0.08,0.00,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.00,0.06,0.05,0.04,0.00,0.06,0.00,0.05,0.05,0.04,0.00,0.06,0.04,0.00,0.05,0.05,0.05,0.04,0.00,0.04,0.05,0.05,0.06,0.03,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.05,0.06,0.00,0.07,0.00,0.07,0.07,0.07,0.06,0.00,0.00,0.04,0.00,0.00,0.07,0.07,0.04,0.00,0.05,0.06,0.06,0.00,0.00,0.00
20000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.10,0.09,0.00,0.00
2800,successful,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.06,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.00,0.06,0.06,0.06,0.06,0.06,0.00
12650,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.04,0.00,0.05,0.00,0.05,0.06,0.03,0.00,0.00,0.05,0.05,0.06,0.05,0.05,0.00,0.00,0.06,0.06,0.05,0.00,0.03,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.06,0.00,0.05,0.05,0.06,0.05,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.00,0.00,0.00
500,failed,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.06,0.00,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,0.00,0.00,0.06,0.00,0.06,0.00,0.00,0.00
15000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.08,0.07,0.00,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.08,0.00,0.07,0.08,0.08,0.07,0.07,0.00,0.00,0.00
2000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.00,0.00,0.06,0.07,0.05,0.00,0.00,0.07,0.00,0.05,0.07,0.00,0.00,0.00,0.06,0.05,0.06,0.00,0.00,0.00
18000,successful,0.05,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.07,0.06,0.07,0.07,0.00,0.00,0.07,0.06,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.05,0.00,0.07,0.07,0.07,0.00,0.00,0.08
7500,successful,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.00,0.06,0.07,0.07,0.00,0.00,0.07,0.07,0.00,0.06,0.00,0.07,0.00,0.06,0.06,0.06,0.00,0.00,0.00
4000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.07,0.09,0.00,0.00,0.09,0.00,0.07,0.00,0.09,0.00,0.08,0.08,0.08,0.00,0.08,0.00
9000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.00,0.05,0.05,0.05,0.03,0.04,0.05,0.04,0.04,0.00,0.00,0.04,0.04,0.05,0.04,0.05,0.04,0.00,0.04,0.04,0.04,0.05,0.05,0.00
10000,failed,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.04,0.04,0.05,0.04,0.00,0.04,0.00,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.05,0.00,0.06,0.00
3000,successful,0.08,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.06,0.00,0.00,0.06,0.06,0.05,0.00,0.00,0.07,0.07,0.00,0.00,0.07,0.00,0.00,0.05,0.00,0.08,0.06,0.08,0.07,0.06,0.06,0.00,0.00,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.00,0.00,0.06,0.07,0.05,0.00,0.00,0.00,0.00,0.08,0.05,0.07,0.00,0.00,0.04,0.06,0.05,0.00,0.00,0.00
3000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.05,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.07,0.00,0.00,0.00
450,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.03,0.00,0.04,0.04,0.03,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.00,0.04,0.00
18500,successful,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.04,0.05,0.00,0.00,0.00,0.05,0.00,0.04,0.00,0.05,0.05,0.00,0.04,0.00,0.00,0.05,0.00,0.05,0.04,0.03,0.05,0.00,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.04,0.02,0.00,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.00,0.00,0.00,0.05,0.04,0.03,0.00,0.00,0.00
6500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.00,0.00,0.00,0.08,0.00,0.00,0.07,0.00,0.08,0.00,0.07,0.07,0.07,0.00,0.00,0.08
1000,failed,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.06,0.00,0.00,0.00,0.06,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.07,0.08,0.05,0.05,0.05,0.00,0.06,0.00
11000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.10,0.00,0.00,0.00,0.00,0.09,0.10,0.10,0.10,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.09,0.10,0.10,0.10,0.11,0.10,0.00
5000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.09,0.00,0.00,0.00,0.07,0.00,0.00,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.07,0.00,0.00,0.06,0.05,0.00,0.00,0.06,0.07,0.07,0.00,0.06,0.06,0.00,0.00,0.05,0.06,0.06,0.00,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.13,0.00,0.00,0.13,0.00,0.00,0.13,0.12,0.10,0.00,0.00,0.08,0.07,0.12,0.00,0.00,0.00,0.00,0.09,0.07,0.10,0.07,0.00,0.00
2500,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.00,0.05,0.00,0.04,0.00,0.01,0.04,0.04,0.00,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.00,0.06,0.05,0.00,0.07,0.06,0.06,0.00,0.00,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.01,0.03,0.00,0.00,0.07,0.01,0.06,0.00,0.00,0.05,0.00,0.04,0.05,0.05,0.00,0.06,0.00
19600,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.05,0.06,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.06,0.00,0.06,0.05,0.06,0.06,0.00,0.00
1600,successful,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.06,0.00,0.05,0.06,0.00,0.00,0.06,0.06,0.06,0.06,0.00,0.00
850,successful,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.09,0.00,0.00,0.08,0.00,0.10,0.00,0.00,0.00,0.08,0.00,0.08,0.09,0.09,0.00,0.00,0.09,0.09,0.00,0.08,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.05,0.05,0.04,0.00,0.00,0.00
15000,successful,0.00,0.07,0.00,0.00,0.07,0.06,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.05,0.00,0.05,0.00,0.06,0.06,0.07,0.00,0.00,0.06,0.05,0.07,0.07,0.06,0.00,0.07,0.06,0.07,0.05,0.07,0.00
1250,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.07,0.04,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.08,0.06,0.06,0.07,0.05,0.04,0.06,0.04,0.05,0.04,0.05,0.00,0.00,0.00
1000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.01,0.00,-0.01,0.01,0.00,0.03,0.00,0.03,0.00,0.02,0.00,0.00,0.00
2000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.07,0.00,0.07,0.00,0.00,0.00,0.08,0.08,0.08,0.08,0.08,0.00,0.00,0.00,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.00,0.07,0.00
4000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.06,0.06,0.06,0.04,0.00,0.06,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.07,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00
4000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.09,0.08,0.00,0.00,0.10,0.06,0.00,0.00,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00
10000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.07,0.06,0.05,0.00,0.06,0.00,0.00,0.05,0.00,0.05,0.00,0.05,0.05,0.00,0.06,0.00,0.06,0.00,0.00,0.05,0.06,0.06,0.00,0.05,0.00
